Timestamp,Garage Name,Address,Occupancy,Last Updated
2025-03-21 15:17:20,South Garage,"377 S. 7th St., San Jose, CA 95112",51,"Friday, 2025-3-21 3:17:00 PM"
2025-03-21 15:32:21,South Garage,"377 S. 7th St., San Jose, CA 95112",49,"Friday, 2025-3-21 3:29:00 PM"
2025-03-21 15:47:21,South Garage,"377 S. 7th St., San Jose, CA 95112",48,"Friday, 2025-3-21 3:45:00 PM"
2025-03-21 16:02:21,South Garage,"377 S. 7th St., San Jose, CA 95112",47,"Friday, 2025-3-21 4:01:00 PM"
2025-03-21 16:17:22,South Garage,"377 S. 7th St., San Jose, CA 95112",45,"Friday, 2025-3-21 4:17:00 PM"
2025-03-21 16:32:22,South Garage,"377 S. 7th St., San Jose, CA 95112",45,"Friday, 2025-3-21 4:29:00 PM"
2025-03-21 16:47:22,South Garage,"377 S. 7th St., San Jose, CA 95112",42,"Friday, 2025-3-21 4:45:00 PM"
2025-03-21 17:02:23,South Garage,"377 S. 7th St., San Jose, CA 95112",39,"Friday, 2025-3-21 5:01:00 PM"
2025-03-21 17:17:23,South Garage,"377 S. 7th St., San Jose, CA 95112",36,"Friday, 2025-3-21 5:17:00 PM"
2025-03-21 17:32:23,South Garage,"377 S. 7th St., San Jose, CA 95112",34,"Friday, 2025-3-21 5:29:00 PM"
2025-03-21 17:47:23,South Garage,"377 S. 7th St., San Jose, CA 95112",34,"Friday, 2025-3-21 5:45:00 PM"
2025-03-21 18:02:24,South Garage,"377 S. 7th St., San Jose, CA 95112",33,"Friday, 2025-3-21 6:01:00 PM"
2025-03-21 18:17:24,South Garage,"377 S. 7th St., San Jose, CA 95112",33,"Friday, 2025-3-21 6:17:00 PM"
2025-03-21 18:32:24,South Garage,"377 S. 7th St., San Jose, CA 95112",33,"Friday, 2025-3-21 6:29:00 PM"
2025-03-21 18:47:25,South Garage,"377 S. 7th St., San Jose, CA 95112",33,"Friday, 2025-3-21 6:45:00 PM"
2025-03-21 19:02:25,South Garage,"377 S. 7th St., San Jose, CA 95112",32,"Friday, 2025-3-21 7:00:00 PM"
2025-03-21 19:17:25,South Garage,"377 S. 7th St., San Jose, CA 95112",32,"Friday, 2025-3-21 7:17:00 PM"
2025-03-21 19:32:26,South Garage,"377 S. 7th St., San Jose, CA 95112",32,"Friday, 2025-3-21 7:29:00 PM"
